,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
0,2019-1502432,2019-01-03,1,Vente,5400.0,79.0,,RUE DES GRAVILLIERS,4302,75003.0,75103,Paris 3e Arrondissement,75,,,75103000AV0022,,,28,,,,,,,,,,1,2.0,Appartement,21.0,1.0,,,,,,2.353479,48.864674
1,2019-1502433,2019-01-10,1,Vente,230000.0,4.0,,RUE BLONDEL,1021,75003.0,75103,Paris 3e Arrondissement,75,,,75103000AB0130,,,12,22.28,,,,,,,,,1,2.0,Appartement,26.0,1.0,,,,,,2.354961,48.868615
2,2019-1502436,2019-01-07,1,Vente,506800.0,4.0,,CITE DUPETIT THOUARS,2996,75003.0,75103,Paris 3e Arrondissement,75,,,75103000AG0072,,,15,42.68,,,,,,,,,1,2.0,Appartement,45.0,2.0,,,,,,2.362024,48.865675
3,2019-1502440,2019-01-08,1,Vente,2638500.0,67.0,,BD DE COURCELLES,2386,75008.0,75108,Paris 8e Arrondissement,75,,,75108000AY0032,,,14,253.3,,,,,,,,,1,2.0,Appartement,260.0,8.0,,,,,,2.302062,48.878463
4,2019-1502447,2019-01-10,1,Vente,124000.0,11.0,,BD DES BATIGNOLLES,0719,75008.0,75108,Paris 8e Arrondissement,75,,,75108000CD0053,,,3,12.66,,,,,,,,,1,2.0,Appartement,13.0,1.0,,,,,,2.325916,48.8828
5,2019-1502453,2019-01-11,1,Vente,165000.0,50.0,,RUE DES FRANCS BOURGEOIS,3820,75003.0,75103,Paris 3e Arrondissement,75,,,75103000AP0042,,,22,15.1,,,,,,,,,1,2.0,Appartement,10.0,1.0,,,,,,2.358667,48.859369
6,2019-1502470,2019-01-15,1,Vente,1550000.0,35.0,,RUE DE LA BIENFAISANCE,0960,75008.0,75108,Paris 8e Arrondissement,75,,,75108000CI0103,,,43,,,,,,,,,,1,2.0,Appartement,18.0,2.0,,,,,,2.315018,48.876272
7,2019-1502471,2019-01-07,1,Vente,500000.0,28.0,,PL DE LA MADELEINE,5891,75008.0,75108,Paris 8e Arrondissement,75,,,75108000BS0104,,,4,41.69,,,,,,,,,1,2.0,Appartement,41.0,2.0,,,,,,2.325904,48.870831
8,2019-1502472,2019-01-04,1,Vente,1975000.0,1.0,,RUE DES INNOCENTS,4718,75001.0,75101,Paris 1er Arrondissement,75,,,75101000AO0079,,,80,185.57,,,,,,,,,1,2.0,Appartement,187.0,6.0,,,,,,2.348171,48.860291
9,2019-1502479,2019-01-21,1,Vente,400000.0,17.0,,RUE DE NAPLES,6675,75008.0,75108,Paris 8e Arrondissement,75,,,75108000CF0075,,,10,36.0,,,,,,,,,1,2.0,Appartement,36.0,2.0,,,,,,2.319673,48.879583
