,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
0,2018-743589,2018-07-03,1,Vente,158000.0,56.0,,RUE DE RICHELIEU,8212,75001.0,75101,Paris 1er Arrondissement,75,,,75101000AV0063,,,81,,,,,,,,,,1,2.0,Appartement,10.0,1.0,,,,,,2.337476,48.866524
1,2018-743594,2018-07-03,1,Vente,216500.0,1.0,B,RUE JEAN MERMOZ,4921,75008.0,75108,Paris 8e Arrondissement,75,,,75108000BH0046,,,114,21.1,,,,,,,,,1,2.0,Appartement,24.0,1.0,,,,,,2.310473,48.870036
2,2018-743596,2018-07-05,1,Vente,347500.0,219.0,,RUE SAINT MARTIN,8694,75003.0,75103,Paris 3e Arrondissement,75,,,75103000AV0148,,,19,31.95,,,,,,,,,1,2.0,Appartement,35.0,2.0,,,,,,2.352721,48.86427
3,2018-743597,2018-07-02,1,Vente,267000.0,142.0,,RUE DU TEMPLE,9191,75003.0,75103,Paris 3e Arrondissement,75,,,75103000AI0034,,,5,27.25,,,,,,,,,1,2.0,Appartement,27.0,1.0,,,,,,2.358997,48.863836
4,2018-743600,2018-07-05,1,Vente,780000.0,76.0,,RUE DE TURENNE,9506,75003.0,75103,Paris 3e Arrondissement,75,,,75103000AL0067,,,109,,,,,,,,,,1,2.0,Appartement,23.0,1.0,,,,,,2.365106,48.860541
5,2018-743611,2018-07-04,1,Vente,245000.0,53.0,,RUE DE MONCEAU,6419,75008.0,75108,Paris 8e Arrondissement,75,,,75108000CM0019,,,23,24.83,,,,,,,,,1,2.0,Appartement,25.0,1.0,,,,,,2.311657,48.87868
6,2018-743617,2018-07-13,1,Vente,475200.0,25.0,,RUE CAMBACERES,1443,75008.0,75108,Paris 8e Arrondissement,75,,,75108000BL0022,,,42,,,,,,,,,,1,2.0,Appartement,11.0,1.0,,,,,,2.317705,48.87344
7,2018-743622,2018-07-11,1,Vente,250000.0,4.0,,RUE DES SAUSSAIES,8843,75008.0,75108,Paris 8e Arrondissement,75,,,75108000BN0058,,,23,29.83,,,,,,,,,1,2.0,Appartement,29.0,2.0,,,,,,2.317076,48.871015
8,2018-743623,2018-07-05,1,Vente,35000.0,10.0,,RUE DE COPENHAGUE,2306,75008.0,75108,Paris 8e Arrondissement,75,,,75108000CF0044,,,9,20.0,,,,,,,,,1,2.0,Appartement,8.0,1.0,,,,,,2.320118,48.880392
9,2018-743624,2018-07-02,1,Vente,588800.0,31.0,T,RUE DES TOURNELLES,9382,75003.0,75103,Paris 3e Arrondissement,75,,,75103000AN0085,,,28,,,,,,,,,,1,2.0,Appartement,18.0,1.0,,,,,,2.367066,48.856285
