,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
5468,2023-563127,2023-06-26,1,Vente,313000.0,77.0,T,RUE DE LA TOMBE ISSOIRE,9342,75014.0,75114,Paris 14e Arrondissement,75,,,75114000BM0003,,,29,,,,,,,,,,1,2.0,Appartement,28.0,1.0,,,,,,2.332691,48.827558
5469,2023-563131,2023-06-26,1,Vente,720000.0,51.0,,RUE DE VERNEUIL,9691,75007.0,75107,Paris 7e Arrondissement,75,,,75107000AN0051,,,8,,,,,,,,,,1,2.0,Appartement,85.0,4.0,,,,,,2.326758,48.858496
5470,2023-563136,2023-06-08,1,Vente,357000.0,149.0,,AV DE CHOISY,2015,75013.0,75113,Paris 13e Arrondissement,75,,,75113000DY0010,,,19,,,,,,,,,,1,2.0,Appartement,17.0,1.0,,,,,,2.358158,48.827559
5471,2023-563147,2023-06-12,1,Vente,90000.0,175.0,,RUE DU FBG ST ANTOINE,3514,75011.0,75111,Paris 11e Arrondissement,75,,,75111000CV0065,,,7,9.98,,,,,,,,,1,2.0,Appartement,11.0,1.0,,,,,,2.380837,48.850664
5472,2023-563149,2023-06-29,1,Vente,190000.0,25.0,,RUE DU CHEMIN VERT,1966,75011.0,75111,Paris 11e Arrondissement,75,,,75111000BC0016,,,377,16.42,,,,,,,,,1,2.0,Appartement,16.0,1.0,,,,,,2.372551,48.858889
5473,2023-563150,2023-06-21,1,Vente,5000.0,73.0,,RUE VASCO DE GAMA,9607,75015.0,75115,Paris 15e Arrondissement,75,,,75115000BJ0007,,,16,,,,,,,,,,1,2.0,Appartement,36.0,2.0,,,,,,2.285464,48.835489
5474,2023-563155,2023-06-21,1,Vente,217105.8,61.0,,BD BRUNE,1333,75014.0,75114,Paris 14e Arrondissement,75,,,75114000CY0016,,,7,26.29,,,,,,,,,1,2.0,Appartement,25.0,2.0,,,,,,2.310752,48.82681
5475,2023-563159,2023-06-05,1,Vente,163200.0,111.0,,RUE DU CHEMIN VERT,1966,75011.0,75111,Paris 11e Arrondissement,75,,,75111000AY0058,,,26,14.29,,,,,,,,,1,2.0,Appartement,12.0,1.0,,,,,,2.38181,48.861623
5476,2023-563166,2023-06-29,1,Vente,536845.0,12.0,,RUE DU MOULINET,6599,75013.0,75113,Paris 13e Arrondissement,75,,,75113000DZ0030,,,8,57.18,,,,,,,,,1,2.0,Appartement,60.0,3.0,,,,,,2.35582,48.827354
5477,2023-563170,2023-06-15,1,Vente,205000.0,20.0,,RUE DES BOULANGERS,1156,75005.0,75105,Paris 5e Arrondissement,75,,,75105000AH0026,,,100,,,,,,,,,,1,2.0,Appartement,41.0,2.0,,,,,,2.353465,48.845999
5478,2023-563173,2023-06-08,1,Vente,530000.0,28.0,,RUE DES VOLONTAIRES,9902,75015.0,75115,Paris 15e Arrondissement,75,,,75115000CH0001,,,3,,,,,,,,,,1,2.0,Appartement,56.0,3.0,,,,,,2.307894,48.841198
5479,2023-563175,2023-06-19,1,Vente,170000.0,18.0,,RUE MORET,6553,75011.0,75111,Paris 11e Arrondissement,75,,,75111000AI0031,,,13,,,,,,,,,,1,2.0,Appartement,21.0,1.0,,,,,,2.379576,48.867264
5480,2023-563176,2023-06-30,1,Vente,157960.0,35.0,,RUE DES TERRES AU CURE,9214,75013.0,75113,Paris 13e Arrondissement,75,,,75113000CO0101,,,103,18.57,,,,,,,,,1,2.0,Appartement,19.0,1.0,,,,,,2.371633,48.824878
5481,2023-563177,2023-06-16,1,Vente,206640.0,66.0,,AV DE BRETEUIL,1277,75007.0,75107,Paris 7e Arrondissement,75,,,75107000BN0021,,,130,19.68,,,,,,,,,1,2.0,Appartement,25.0,1.0,,,,,,2.31088,48.848535
5482,2023-563182,2023-05-25,1,Vente,204000.0,16.0,,RUE PAUL VALERY,7186,75016.0,75116,Paris 16e Arrondissement,75,,,75116000FF0023,,,2,19.18,,,,,,,,,1,2.0,Appartement,20.0,1.0,,,,,,2.290302,48.870233
5483,2023-563184,2023-06-30,1,Vente,2415660.0,8.0,,SQ CHARLES DICKENS,1824,75016.0,75116,Paris 16e Arrondissement,75,,,75116000CG0042,,,12,129.79,,,,,,,,,1,2.0,Appartement,112.0,4.0,,,,,,2.284835,48.857638
5484,2023-563188,2023-06-09,1,Vente,114500.0,11.0,,RUE DAVAL,2599,75011.0,75111,Paris 11e Arrondissement,75,,,75111000CA0002,,,9,10.06,,,,,,,,,1,2.0,Appartement,10.0,1.0,,,,,,2.370682,48.855222
