,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
0,2022-1621603,2022-01-06,1,Vente,605000.0,51.0,,RUE CHARLOT,1880,75003.0,75103,Paris 3e Arrondissement,75,,,75103000AH0072,,,7,40.66,,,,,,,,,1,2.0,Appartement,42.0,3.0,,,,,,2.362871,48.863374
1,2022-1621616,2022-01-07,1,Vente,660000.0,141.0,,RUE DES POISSONNIERS,7564,75018.0,75118,Paris 18e Arrondissement,75,,,75118000BX0009,,,5,81.36,,,,,,,,,1,2.0,Appartement,81.0,3.0,,,,,,2.352517,48.895742
2,2022-1621619,2022-01-07,1,Vente,293000.0,7.0,,RUE SAINT-MARC,8686,75002.0,75102,Paris 2e Arrondissement,75,,,75102000AG0105,,,20,23.55,,,,,,,,,1,2.0,Appartement,22.0,1.0,,,,,,2.341378,48.870214
3,2022-1621625,2022-01-05,1,Vente,300000.0,55.0,,RUE STEPHENSON,9092,75018.0,75118,Paris 18e Arrondissement,75,,,75118000CF0231,,,421,32.36,,,,,,,,,1,2.0,Appartement,38.0,1.0,,,,,,2.355461,48.88954
4,2022-1621629,2022-01-05,1,Vente,335000.0,75.0,,AV NIEL,6773,75017.0,75117,Paris 17e Arrondissement,75,,,75117000AN0050,,,30,32.95,,,,,,,,,1,2.0,Appartement,33.0,2.0,,,,,,2.295735,48.882706
5,2022-1621631,2022-01-10,1,Vente,725000.0,16.0,B,CITE DE TREVISE,9439,75009.0,75109,Paris 9e Arrondissement,75,,,75109000AX0095,,,5,,,,,,,,,,1,2.0,Appartement,70.0,3.0,,,,,,2.34717,48.875019
6,2022-1621632,2022-01-04,1,Vente,150000.0,7.0,,RUE DU CAPITAINE FERBER,1500,75020.0,75120,Paris 20e Arrondissement,75,,,75120000BL0057,,,14,15.73,,,,,,,,,1,2.0,Appartement,14.0,1.0,,,,,,2.405101,48.86549
7,2022-1621635,2022-01-07,1,Vente,225000.0,24.0,,RUE LA CONDAMINE,5228,75017.0,75117,Paris 17e Arrondissement,75,,,75117000DK0052,,,74,18.0,,,,,,,,,1,2.0,Appartement,31.0,2.0,,,,,,2.323034,48.887436
8,2022-1621636,2022-01-05,1,Vente,315000.0,24.0,,RUE LA CONDAMINE,5228,75017.0,75117,Paris 17e Arrondissement,75,,,75117000DK0052,,,36,31.32,,,,,,,,,1,2.0,Appartement,54.0,3.0,,,,,,2.323034,48.887436
9,2022-1621637,2022-01-06,1,Vente,15000.0,114.0,,RUE DE MEAUX,6236,75019.0,75119,Paris 19e Arrondissement,75,,,75119000EN0017,,,53,,,,,,,,,,1,2.0,Appartement,15.0,1.0,,,,,,2.381779,48.88543
