,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
0,2021-1680089,2021-01-08,1,Vente,410000.0,111.0,,RUE SAINT-DENIS,8525,75001.0,75101,Paris 1er Arrondissement,75,,,75101000AQ0091,,,7,,,,,,,,,,1,2.0,Appartement,31.0,2.0,,,,,,2.349422,48.862768
1,2021-1680092,2021-01-07,1,Vente,300000.0,313.0,B,RUE DES TOURNELLES,9382,75003.0,75103,Paris 3e Arrondissement,75,,,75103000AN0086,,,17,19.39,,,,,,,,,1,2.0,Appartement,23.0,1.0,,,,,,2.367136,48.856147
2,2021-1680096,2021-01-08,1,Vente,1525559.0,22.0,,RUE JEAN GOUJON,4897,75008.0,75108,Paris 8e Arrondissement,75,,,75108000AK0012,,,4,83.16,,,,,,,,,1,2.0,Appartement,91.0,4.0,,,,,,2.306396,48.866139
3,2021-1680097,2021-01-13,1,Vente,912000.0,10.0,,RUE COQUILLIERE,2318,75001.0,75101,Paris 1er Arrondissement,75,,,75101000AR0094,,,109,,,,,,,,,,1,2.0,Appartement,81.0,3.0,,,,,,2.343699,48.863762
4,2021-1680103,2021-01-08,1,Vente,1250000.0,17.0,,RUE SAINT GILLES,8627,75003.0,75103,Paris 3e Arrondissement,75,,,75103000AN0032,,,77,100.84,,,,,,,,,1,2.0,Appartement,74.0,3.0,,,,,,2.364883,48.857858
5,2021-1680106,2021-01-19,1,Vente,285000.0,63.0,,BD DE COURCELLES,2386,75008.0,75108,Paris 8e Arrondissement,75,,,75108000AY0034,,,13,28.62,,,,,,,,,1,2.0,Appartement,32.0,2.0,,,,,,2.302383,48.878695
6,2021-1680107,2021-01-12,1,Vente,356644.03,127.0,,RUE SAINT-DENIS,8525,75001.0,75101,Paris 1er Arrondissement,75,,,75101000AQ0104,,,20,16.41,,,,,,,,,1,2.0,Appartement,25.0,1.0,,,,,,2.349593,48.863227
7,2021-1680108,2021-01-12,1,Vente,377000.0,25.0,,RUE TRONCHET,9470,75008.0,75108,Paris 8e Arrondissement,75,,,75108000BS0077,,,25,30.92,,,,,,,,,1,2.0,Appartement,28.0,2.0,,,,,,2.325865,48.872635
8,2021-1680114,2021-01-12,1,Vente,2970760.0,19.0,,RUE DE MIROMESNIL,6387,75008.0,75108,Paris 8e Arrondissement,75,,,75108000BK0043,,,122,200.12,,,,,,,,,1,2.0,Appartement,130.0,6.0,,,,,,2.315713,48.872459
9,2021-1680121,2021-01-07,1,Vente,1599875.0,5.0,,RUE LARRIBE,5364,75008.0,75108,Paris 8e Arrondissement,75,,,75108000CF0108,,,4,102.31,,,,,,,,,1,2.0,Appartement,108.0,4.0,,,,,,2.317894,48.88038
10,2021-1680127,2021-01-15,1,Vente,994460.0,23.0,,RUE MICHEL LE COMTE,6336,75003.0,75103,Paris 3e Arrondissement,75,,,75103000AT0084,,,36,63.52,,,,,,,,,1,2.0,Appartement,73.0,2.0,,,,,,2.355151,48.862137
11,2021-1680135,2021-01-22,1,Vente,175500.0,17.0,,RUE DE POITOU,7572,75003.0,75103,Paris 3e Arrondissement,75,,,75103000AQ0078,,,26,9.68,,,,,,,,,1,2.0,Appartement,19.0,1.0,,,,,,2.362932,48.861419
12,2021-1680142,2021-01-14,1,Vente,225000.0,62.0,,RUE NOTRE-DAME DE NAZARETH,6834,75003.0,75103,Paris 3e Arrondissement,75,,,75103000AB0059,,,24,20.47,,,,,,,,,1,2.0,Appartement,22.0,1.0,,,,,,2.356977,48.867907
13,2021-1680143,2021-01-13,1,Vente,442000.0,65.0,,RUE DES GRAVILLIERS,4302,75003.0,75103,Paris 3e Arrondissement,75,,,75103000AV0033,,,111,32.24,,,,,,,,,1,2.0,Appartement,30.0,1.0,,,,,,2.354418,48.864278
14,2021-1680150,2021-01-14,1,Vente,649000.0,43.0,,RUE D AMSTERDAM,0300,75008.0,75108,Paris 8e Arrondissement,75,,,75108000BY0016,,,13,55.54,,,,,,,,,1,2.0,Appartement,56.0,3.0,,,,,,2.326672,48.879346
15,2021-1680152,2021-01-15,1,Vente,40500.0,78.0,,BD MALESHERBES,5951,75008.0,75108,Paris 8e Arrondissement,75,,,75108000CG0102,,,55,,,,,,,,,,1,2.0,Appartement,15.0,1.0,,,,,,2.31483,48.879491
16,2021-1680154,2021-01-15,1,Vente,40500.0,78.0,,BD MALESHERBES,5951,75008.0,75108,Paris 8e Arrondissement,75,,,75108000CG0102,,,55,,,,,,,,,,1,2.0,Appartement,15.0,1.0,,,,,,2.31483,48.879491
17,2021-1680157,2021-02-01,1,Vente,54000.0,9.0,,RUE DU PONT AUX CHOUX,7605,75003.0,75103,Paris 3e Arrondissement,75,,,75103000AL0053,,,14,,,,,,,,,,1,2.0,Appartement,5.0,1.0,,,,,,2.366311,48.860877
18,2021-1680158,2021-01-29,1,Vente,50000.0,13.0,,RUE PASTOURELLE,7094,75003.0,75103,Paris 3e Arrondissement,75,,,75103000AQ0018,,,89,,,,,,,,,,1,2.0,Appartement,95.0,3.0,,,,,,2.360246,48.861896
19,2021-1680159,2021-01-26,1,Vente,3500.0,22.0,,RUE D ASTORG,0505,75008.0,75108,Paris 8e Arrondissement,75,,,75108000BL0056,,,35,,,,,,,,,,1,2.0,Appartement,40.0,2.0,,,,,,2.319691,48.873675
20,2021-1680162,2021-01-19,1,Vente,180000.0,55.0,,RUE CHARLOT,1880,75003.0,75103,Paris 3e Arrondissement,75,,,75103000AH0074,,,105,16.23,,,,,,,,,1,2.0,Appartement,12.0,1.0,,,,,,2.362976,48.863459
21,2021-1680167,2021-01-27,1,Vente,520000.0,15.0,,AV DE FRIEDLAND,3868,75008.0,75108,Paris 8e Arrondissement,75,,,75108000AU0052,,,56,35.51,,,,,,,,,1,2.0,Appartement,43.0,1.0,,,,,,2.303058,48.874251
22,2021-1680174,2021-01-15,1,Vente,445000.0,22.0,B,RUE DUPETIT-THOUARS,2997,75003.0,75103,Paris 3e Arrondissement,75,,,75103000AG0110,,,17,56.05,,,,,,,,,1,2.0,Appartement,51.0,1.0,,,,,,2.361632,48.865995
23,2021-1680179,2021-01-28,1,Vente,285000.0,56.0,,RUE CHAPON,1771,75003.0,75103,Paris 3e Arrondissement,75,,,75103000AV0028,,,521,25.35,,,,,,,,,1,2.0,Appartement,27.0,1.0,,,,,,2.353785,48.864262
24,2021-1680181,2021-01-18,1,Vente,530000.0,85.0,,RUE DU TEMPLE,9191,75003.0,75103,Paris 3e Arrondissement,75,,,75103000AT0041,,,108,35.71,,,,,,,,,1,2.0,Appartement,39.0,2.0,,,,,,2.356452,48.861888
25,2021-1680187,2021-01-08,1,Vente,391000.0,163.0,,RUE SAINT MARTIN,8694,75003.0,75103,Paris 3e Arrondissement,75,,,75103000AU0057,,,52,32.4,,,,,,,,,1,2.0,Appartement,45.0,1.0,,,,,,2.351724,48.862491
