IRIS;DEC_PIMP20;DEC_TP6020;DEC_Q120;DEC_MED20;DEC_Q320;DEC_EQ20;DEC_D120;DEC_D220;DEC_D320;DEC_D420;DEC_D620;DEC_D720;DEC_D820;DEC_D920;DEC_RD20;DEC_S80S2020;DEC_GI20;DEC_PACT20;DEC_PTSA20;DEC_PCHO20;DEC_PBEN20;DEC_PPEN20;DEC_PAUT20;DEC_NOTE20
010040101;41,8;32,7;10940;18240;24950;0,77;6220;9630;12440;15560;20800;23330;26980;32690;5,3;6,8;0,328;68,0;61,1;4,0;2,9;28,8;3,2;0
010040102;39,0;41,1;9010;15860;23660;0,92;4030;7750;10150;12960;18480;21760;25450;31420;7,8;9,7;0,370;70,4;63,2;4,8;2,4;26,3;3,3;0
010040201;45,6;29,2;11700;19130;27000;0,80;6150;10030;13260;16360;22010;25210;28740;35260;5,7;7,6;0,342;68,9;61,5;3,9;3,5;27,9;3,2;0
010040202;59,8;14,0;17500;24790;33710;0,65;10820;15850;19050;22060;27930;31540;36600;44470;4,1;5,5;0,317;69,9;63,7;2,7;3,5;23,4;6,7;0
010330102;39,1;30,6;11100;19090;29590;0,97;4930;9220;12910;16210;22850;26920;32470;42230;8,6;10,7;0,391;73,2;66,6;5,0;1,6;23,8;3,0;0
010330103;45,3;20,7;14850;23190;35590;0,89;7690;12610;16600;19620;27720;32680;39160;50120;6,5;8,3;0,369;76,5;70,1;4,3;2,1;20,1;3,4;0
010330201;48,8;20,0;15520;24940;36700;0,85;8900;13240;17500;21190;28620;33000;40640;54170;6,1;8,0;0,369;71,6;66,3;3,3;2,0;25,8;2,6;0
010330202;38,5;34,0;10600;18040;26970;0,91;5390;8520;12060;15040;20980;24940;29650;39750;7,4;9,7;0,378;68,4;62,1;5,0;1,3;30,1;1,5;0
010330301;37,7;28,5;11540;20750;29140;0,85;6630;10320;13960;17320;23630;27200;32330;42880;6,5;8,0;0,355;79,6;74,6;4,3;0,7;18,8;1,6;0
010330401;54,4;10,9;19410;28680;40200;0,72;12740;17490;21260;25230;32350;37720;43770;56490;4,4;5,9;0,334;76,5;70,6;3,2;2,7;17,8;5,7;0
010340101;51,3;15,9;16330;21910;29250;0,59;9980;14750;17590;19730;24250;27410;31530;39060;3,9;5,2;0,303;63,6;55,8;2,9;4,9;31,2;5,2;1
010340102;44,9;27,7;11940;18740;26980;0,80;6420;10150;13810;16620;21450;24710;29270;37970;5,9;7,5;0,344;60,3;53,2;3,5;3,6;36,4;3,3;1
010340103;39,4;41,9;8400;15510;23710;0,99;5010;7480;9890;12670;18480;21760;25680;34170;6,8;10,2;0,406;61,3;54,6;4,6;2,1;33,8;4,9;1
010530101;45,8;31,1;11440;18850;29100;0,94;3890;9000;12810;15590;22250;26730;32390;41950;10,8;13,6;0,425;68,8;60,3;4,1;4,4;23,5;7,7;0
010530102;49,5;25,9;12880;20080;28970;0,80;6150;10950;14680;17520;23180;26890;31070;38790;6,3;8,3;0,359;53,6;48,6;3,1;1,9;40,6;5,8;0
010530103;51,5;22,6;14050;22040;32540;0,84;5650;12420;16140;18800;25830;30050;35370;45590;8,1;11,0;0,409;58,5;50,2;3,4;4,9;32,5;9,0;0
010530201;47,9;27,5;11860;19270;27380;0,81;5840;9980;13760;16520;21770;25050;29730;38090;6,5;9,3;0,378;63,0;56,7;3,4;2,9;33,7;3,3;0
010530202;36,4;45,9;7600;14660;23070;1,06;1430;6230;9030;11300;17450;20650;25350;33970;23,7;17,6;0,422;70,4;60,6;5,8;4,0;27,6;2,0;0
010530203;49,3;25,7;12890;20130;27390;0,72;5830;10710;14230;16970;23120;25480;30280;39040;6,7;8,5;0,350;67,3;61,8;3,4;2,1;30,0;2,7;0
010530301;56,2;19,0;15230;22890;32140;0,74;7870;13710;17080;20450;26240;30130;35410;48050;6,1;7,7;0,363;65,7;59,9;2,9;2,9;29,6;4,7;0
010530302;45,3;31,1;10810;18460;27100;0,88;5080;9140;12610;16170;21650;24880;29700;38890;7,7;10,6;0,396;64,0;57,4;3,5;3,1;32,0;4,0;0
010530401;45,7;30,0;11610;18190;27560;0,88;6630;9910;13170;16030;21110;25030;30190;37210;5,6;7,2;0,345;63,6;55,6;3,5;4,5;34,2;2,2;0
010530402;57,7;16,1;15980;23150;30190;0,61;10310;14430;17830;20530;25760;28570;32680;38770;3,8;5,1;0,291;61,9;56,8;3,1;2,0;35,7;2,4;0
010530501;57,7;19,4;15620;24000;32050;0,68;8300;13850;17440;20810;26440;29630;34520;44230;5,3;7,1;0,346;51,1;46,6;1,9;2,6;44,5;4,4;0
010530502;47,8;26,8;11930;20210;29130;0,85;6960;10440;14340;17080;23320;27240;32160;41420;5,9;8,4;0,381;59,1;52,3;2,8;4,0;35,3;5,6;0
010530503;24,3;60,5;6290;11080;17340;1,00;870;5140;7250;9030;13090;15480;19030;24070;27,6;17,1;0,428;68,2;59,9;7,5;0,8;29,5;2,3;0
010530601;32,1;50,7;6790;12970;20970;1,09;1410;5760;7940;9970;15330;18690;23030;28900;20,5;14,9;0,405;56,0;48,8;5,7;1,5;41,9;2,1;0
010530602;26,3;55,1;6430;11320;18260;1,05;2970;5720;7030;9130;13990;16650;20080;25310;8,5;10,5;0,386;56,1;48,2;6,5;1,4;41,7;2,2;0
010530603;19,6;64,1;5700;10100;16250;1,04;1710;4770;6730;8520;12100;14790;17540;23040;13,5;13,2;0,392;65,1;55,4;8,7;1,0;34,5;0,4;0
010530604;s;s;13310;20830;28630;0,74;4370;11640;15050;18270;23610;26800;30870;37640;8,6;9,2;0,340;53,1;48,0;2,4;2,7;43,6;3,3;0
010530701;50,1;25,1;13060;20740;28010;0,72;7080;11740;14900;17990;23780;25880;29810;35230;5,0;7,3;0,347;68,1;62,5;3,1;2,5;28,8;3,1;0
011430101;63,7;10,8;25120;45610;75300;1,10;12440;20990;29080;37080;56420;68420;85100;110780;8,9;11,5;0,418;78,4;73,8;2,8;1,8;16,5;5,1;1
011430102;64,0;10,8;28120;55100;88740;1,10;11910;23100;33680;44210;67270;81530;97720;132690;11,1;14,4;0,440;84,6;79,3;2,7;2,6;10,4;5,0;1
011430103;63,6;10,7;23840;49140;84320;1,23;12300;20900;28220;37620;61270;76360;91540;119360;9,7;12,4;0,430;80,6;75,9;3,2;1,5;13,1;6,3;1
011600101;40,0;28,5;10870;27160;49250;1,41;300;7890;14210;21120;34200;43840;55460;72830;246,9;38,0;0,483;79,7;74,4;2,8;2,5;16,0;4,3;1
011600102;47,3;23,0;14850;35480;60190;1,28;160;9730;18600;27250;45860;55090;66260;88100;537,6;35,2;0,461;72,3;66,8;3,0;2,5;20,9;6,8;1
011600103;38,3;39,9;7630;18750;40130;1,73;110;5630;9240;13180;25810;34070;48020;69920;655,5;51,5;0,540;76,2;71,3;3,7;1,2;20,5;3,3;1
011730101;55,3;18,2;16970;29790;49710;1,10;7520;14430;19430;24530;37690;45280;56210;75220;10,0;11,6;0,407;86,2;80,1;3,8;2,3;10,6;3,2;0
011730102;61,7;14,0;20520;35700;55380;0,98;9960;17400;23190;29300;42800;49860;61830;78820;7,9;9,6;0,383;85,6;81,5;2,9;1,2;10,9;3,5;0
011730103;60,8;12,4;22480;40100;58330;0,89;11210;19290;25640;33040;46580;53870;64290;82040;7,3;9,4;0,378;86,9;82,2;3,3;1,4;10,7;2,4;0
011940101;s;s;15020;22060;29100;0,64;8120;13100;16670;19510;24700;27320;31350;37910;4,7;5,7;0,301;66,3;60,2;3,3;2,8;30,6;3,1;1
011940102;58,1;12,2;17800;24970;32870;0,60;11430;16330;19810;22270;27680;30580;34910;43110;3,8;4,6;0,283;70,2;63,9;2,8;3,5;25,4;4,4;1
012020101;54,8;13,8;16930;23770;31610;0,62;11630;15580;18560;21190;26110;29430;34900;41680;3,6;4,8;0,295;68,0;61,2;3,5;3,3;26,5;5,5;1
012020102;51,2;16,5;15900;21920;29370;0,61;9820;14210;17220;19490;24420;27420;31880;39280;4,0;5,0;0,297;67,2;61,0;2,7;3,5;29,0;3,8;1
012440101;54,3;16,6;16530;24130;33310;0,70;9670;14760;18170;20880;27380;31290;36100;45240;4,7;5,8;0,316;71,5;66,8;2,5;2,2;25,2;3,3;1
012440102;s;s;13920;20480;29140;0,74;9030;12280;15620;17890;23480;26820;31340;40400;4,5;6,0;0,326;71,2;63,8;3,5;3,9;23,9;4,9;1
012440103;59,2;14,2;18100;24890;32610;0,58;11020;16020;19890;22310;27570;30900;34930;42410;3,8;4,6;0,276;80,2;74,7;2,8;2,7;17,7;2,1;1
012490101;61,2;12,2;18370;25170;33780;0,61;11880;16420;19730;22190;28270;31590;35720;45510;3,8;5,2;0,315;74,0;67,8;2,6;3,6;19,7;6,3;0
012490102;56,6;19,7;15190;23390;33120;0,77;8170;13370;17010;19830;26840;30270;36390;44510;5,4;6,4;0,323;68,6;63,3;3,0;2,3;27,3;4,1;0
012490103;70,3;8,7;20830;29180;39090;0,63;14120;19080;22440;25610;32410;36600;42670;51310;3,6;5,1;0,318;73,1;67,3;2,1;3,7;17,3;9,6;0
012620101;64,1;9,1;19890;27950;35990;0,58;13760;18440;21340;24540;30500;34000;39080;47780;3,5;4,1;0,267;74,0;67,7;2,5;3,8;21,7;4,3;1
012620102;s;s;11170;18050;25180;0,78;5980;9470;12620;15380;20410;23590;27520;34090;5,7;7,1;0,333;73,8;65,5;5,3;3,0;23,6;2,6;1
012830102;21,4;57,5;7260;11730;17520;0,87;4070;6450;8110;10060;13850;16190;18900;23140;5,7;6,9;0,332;70,7;62,7;7,5;0,5;28,6;0,7;0
012830103;24,4;53,9;7640;12180;18510;0,89;4000;6820;8390;10080;14730;17120;20180;24710;6,2;8,1;0,360;62,3;55,0;6,7;0,6;36,3;1,4;0
012830104;21,3;58,1;6520;11040;17520;1,00;3250;5760;7230;9030;13470;16130;18890;23550;7,2;10,5;0,394;73,3;61,4;8,9;3,0;25,9;0,8;0
012830201;45,0;29,7;11760;18210;25560;0,76;6140;9450;13300;15610;21160;23990;26990;34440;5,6;8,2;0,362;61,2;54,5;4,5;2,2;33,4;5,4;0
012830202;41,1;32,3;10210;17410;25030;0,85;3690;8590;12130;14930;20160;23090;27140;33590;9,1;10,6;0,365;66,4;60,1;4,5;1,8;30,0;3,6;0
012830203;30,9;47,2;7990;13960;20890;0,92;4010;6910;9080;11320;17180;19820;23470;32030;8,0;10,3;0,394;65,2;56,1;6,1;3,0;31,6;3,2;0
012830301;41,8;33,9;10780;17530;24490;0,78;6290;9530;12300;15090;19890;22730;26490;33410;5,3;7,5;0,355;67,7;61,0;4,7;2,0;29,6;2,7;0
012830302;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
012830303;46,0;35,6;9560;17370;24260;0,85;4860;8020;11530;14750;19980;22650;26310;33640;6,9;10,1;0,377;68,7;61,0;5,0;2,7;28,4;2,9;0
012830304;48,2;26,5;12820;19060;25370;0,66;6910;10940;13960;16530;21500;24190;27640;36250;5,2;7,6;0,369;69,4;61,0;4,1;4,3;24,6;6,0;0
012830305;68,5;s;20860;26840;37370;0,62;13560;19290;21980;24700;29830;33940;40920;52280;3,9;5,6;0,352;63,5;58,5;1,8;3,2;24,6;11,9;0
012830306;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
012890101;48,9;19,3;15060;21530;28030;0,60;7970;13340;16480;18950;24090;26700;29990;36850;4,6;5,4;0,293;58,2;53,0;2,8;2,4;38,0;3,8;1
012890102;59,8;9,9;17870;24340;33190;0,63;13200;16210;19250;21740;27140;30840;36220;44880;3,4;4,4;0,287;60,0;55,2;1,8;3,0;34,8;5,2;1
013540101;41,4;21,1;15610;34780;59760;1,27;2160;11760;18800;25300;43780;53600;66590;84720;39,2;26,1;0,456;84,7;80,1;2,8;1,8;12,6;2,7;0
013540102;39,0;26,8;12290;27240;50570;1,41;1250;8910;15810;21080;36050;44420;56910;75990;61,0;32,3;0,473;79,6;74,2;2,9;2,5;17,3;3,1;0
013540103;36,1;33,6;9460;20760;38020;1,38;0;6840;11850;16060;26900;33350;42590;56160;so;36,0;0,486;78,5;74,0;2,9;1,6;19,7;1,8;0
014270101;55,0;19,6;15370;23720;31450;0,68;8790;13490;17580;20710;26340;29630;34170;40960;4,7;5,8;0,309;75,4;69,0;3,4;3,0;21,5;3,1;1
014270102;53,1;17,9;15600;21750;30030;0,66;9140;13860;16790;19120;24810;28010;32820;42020;4,6;5,9;0,327;73,3;65,9;3,5;3,9;22,4;4,3;1
014510101;62,3;s;20130;25730;33030;0,50;15500;18830;21510;23470;28260;31110;35720;43840;2,8;3,8;0,270;65,6;58,6;1,6;5,4;26,7;7,7;1
014510102;s;s;16220;23600;31150;0,63;9430;14460;17960;20830;25810;28940;33800;40140;4,3;5,1;0,286;64,4;59,4;2,6;2,4;31,6;4,0;1
021680101;40,3;37,0;9290;16450;24180;0,91;3930;7670;10860;14070;19350;22490;26270;33670;8,6;11,8;0,402;67,2;57,9;4,7;4,6;27,5;5,3;0
021680201;50,5;23,7;13560;20800;30990;0,84;6570;11670;15490;18290;23810;27700;32740;43900;6,7;8,3;0,363;64,6;54,5;3,5;6,6;29,5;5,9;0
021680301;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
021680401;41,2;29,8;11650;18810;26600;0,79;5420;9480;13320;16100;21540;24360;28720;37750;7,0;9,0;0,364;63,2;56,2;3,3;3,7;31,9;4,9;0
021680501;s;s;3850;8620;15440;1,34;80;2350;4830;6880;11100;14370;17710;21980;289,2;47,4;0,460;68,1;s;s;s;30,8;1,1;0
021680601;56,1;17,8;15590;23030;31360;0,68;9800;13730;17040;20330;25720;29030;34360;44790;4,6;6,9;0,358;61,1;50,1;2,5;8,5;34,6;4,3;0
021680701;s;s;8800;15310;22750;0,91;2930;7360;9970;12970;18130;21220;24920;31150;10,6;11,6;0,380;67,1;60,0;4,4;2,7;31,0;1,9;0
021730101;26,4;52,4;5130;12470;20120;1,20;50;3030;6810;9800;15430;18240;22090;27300;525,1;45,1;0,448;56,9;50,3;4,8;1,8;41,0;2,1;0
021730201;39,1;34,4;9900;17570;25560;0,89;3130;7920;11510;15000;20250;23250;27740;35920;11,5;12,4;0,391;62,5;54,1;3,6;4,8;33,9;3,6;0
021730301;47,1;26,4;12730;20310;27900;0,75;5170;10530;14890;17770;22990;26150;30230;39060;7,6;9,2;0,359;64,2;54,4;3,2;6,6;32,6;3,2;0
023400101;s;s;13580;19750;25550;0,61;7740;11620;15030;17420;21600;23900;26690;32000;4,1;5,0;0,277;65,8;59,9;3,2;2,7;32,4;1,8;1
023400201;38,3;31,4;10980;18620;25210;0,76;4020;8910;12620;15890;20760;23860;26670;33070;8,2;9,3;0,346;61,5;56,6;3,0;1,9;37,5;1,0;1
023400301;41,0;20,5;14930;19940;25360;0,52;7680;12800;16070;18200;21940;24280;26980;31430;4,1;4,6;0,253;53,4;48,9;3,1;1,4;45,9;0,7;1
023810101;25,8;49,7;5750;13260;20430;1,11;10;3820;7640;10510;15920;18750;22220;27540;1967,1;41,5;0,451;54,3;46,3;4,3;3,7;40,7;5,0;1
023810201;28,1;51,0;5080;13000;21060;1,23;270;3700;6870;10120;16190;19260;22850;27860;102,7;31,4;0,432;55,2;49,2;4,3;1,7;42,0;2,8;1
023810301;36,4;38,0;8130;16610;24660;1,00;750;6160;9910;14010;19700;23360;25760;31150;41,6;18,3;0,399;56,7;49,6;2,9;4,2;40,0;3,3;1
023810401;24,7;46,3;6490;13950;20510;1,01;190;4350;8070;11240;16910;19610;22040;26020;138,6;28,5;0,391;54,0;49,2;3,4;1,4;43,5;2,5;1
024080101;18,6;66,2;2880;8380;15790;1,54;0;1560;4110;5890;11090;14260;18160;23710;so;105,3;0,492;55,7;47,3;7,7;0,7;43,0;1,3;0
024080102;s;82,2;1580;5890;10590;1,53;0;330;2170;4520;7300;9370;12490;16780;so;501,1;0,507;64,9;s;s;s;34,7;0,4;0
024080103;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
024080201;36,6;41,4;8960;15530;23250;0,92;2960;7710;10260;12850;18500;21620;25590;31180;10,5;10,6;0,369;59,8;54,6;3,4;1,8;37,9;2,3;0
024080301;41,2;31,5;10690;19290;28080;0,90;3720;8360;12850;16020;22450;26050;31120;38660;10,4;12,7;0,388;60,5;52,3;3,0;5,2;34,9;4,6;0
024080401;50,5;24,0;13350;21150;30540;0,81;6950;11160;14690;18000;24480;28190;33250;43220;6,2;8,4;0,380;53,0;46,0;2,5;4,5;40,4;6,6;0
024080402;28,0;47,1;7100;13720;20270;0,96;1580;5900;8490;11440;16050;18450;22260;27440;17,3;14,1;0,384;62,4;55,5;6,4;0,5;36,9;0,7;0
024080501;42,8;39,0;7660;17760;29120;1,21;240;5680;9720;13760;21280;25780;31940;44280;184,9;40,6;0,489;71,9;59,1;3,8;9,0;22,9;5,2;0
024080601;42,8;32,8;9980;18420;25910;0,86;3770;8200;12490;15530;21250;23920;28390;34950;9,3;10,7;0,372;64,4;57,8;3,1;3,5;32,3;3,3;0
024080701;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
024080801;32,7;45,3;6130;14870;22670;1,11;870;4300;7620;11190;17800;21170;24650;30400;34,8;26,0;0,430;58,9;51,6;4,3;3,0;39,3;1,8;0
024080901;55,0;18,5;15940;22900;30700;0,64;8460;13950;17670;20410;25460;28420;33130;45250;5,4;7,1;0,344;60,3;55,1;1,9;3,3;35,2;4,5;0
026910101;47,8;30,8;10420;20640;33650;1,13;1740;7630;12890;16940;25120;30500;37110;52020;29,9;26,3;0,493;65,9;49,0;2,4;14,5;25,5;8,6;0
026910102;51,7;27,4;12230;22750;37790;1,12;1780;9530;13960;18360;27640;34110;43310;61970;34,8;25,7;0,494;66,5;50,2;2,5;13,8;24,7;8,8;0
026910103;39,6;39,8;8110;16940;25960;1,05;590;6180;10030;13370;19600;23920;30160;42540;71,9;29,2;0,491;70,1;60,0;3,6;6,5;23,9;6,0;0
026910104;39,9;39,4;7540;16680;26950;1,16;1240;6010;9340;13420;20610;24210;29920;41070;33,2;30,2;0,498;65,5;54,5;4,2;6,8;25,4;9,1;0
026910201;46,7;30,1;11460;20140;29220;0,88;3410;9140;13060;16450;22800;26770;32640;43930;12,9;14,2;0,425;68,2;58,4;2,8;7,0;27,1;4,7;0
026910202;46,6;25,9;12840;20830;28090;0,73;6180;11320;15020;18330;23710;26380;30980;38570;6,2;7,4;0,338;62,9;58,4;2,6;1,9;34,2;2,9;0
026910203;45,1;28,5;11240;19460;27890;0,86;4290;9300;13450;16850;22400;25910;31350;39610;9,2;11,8;0,390;52,3;44,3;2,4;5,6;44,7;3,0;0
026910204;18,9;69,8;900;7150;15060;1,98;0;240;2020;5110;9810;13250;17540;24210;so;2503,9;0,569;56,1;47,3;6,4;2,4;39,2;4,7;0
026910205;s;77,2;1700;6760;12490;1,60;0;670;2280;5240;8460;11360;14050;18280;so;250,1;0,500;58,8;s;s;s;40,3;0,9;0
026910206;24,8;57,8;3490;10650;18360;1,40;0;2260;4980;7180;13650;16910;19770;24840;so;63,7;0,457;36,2;s;s;s;62,7;1,1;0
026910207;25,7;54,5;4900;12100;19430;1,20;0;3680;6270;9330;14760;17670;21200;26710;so;32,1;0,428;42,5;s;s;s;56,3;1,2;0
026910208;53,0;24,6;13320;21470;31130;0,83;3520;10620;14850;18520;25170;28580;33970;42560;12,1;11,1;0,383;63,1;56,3;2,4;4,4;32,0;4,9;0
026910209;45,7;29,8;11700;19900;31640;1,00;4430;9580;13510;16670;23350;28590;35580;50470;11,4;14,7;0,433;68,3;57,9;2,5;7,9;27,0;4,7;0
026910210;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
026910301;29,4;44,9;6160;14490;21020;1,03;390;4310;8650;12040;16910;19600;22560;28140;71,7;26,9;0,419;68,4;59,5;4,5;4,4;29,1;2,5;0
026910302;40,1;27,0;12140;18570;24070;0,64;4330;10220;13970;16330;20520;22620;25540;31350;7,2;7,8;0,321;63,8;57,2;3,3;3,3;34,5;1,7;0
026910303;s;s;5490;12370;18930;1,09;10;3420;6570;9390;14890;17580;20440;24440;4888,0;38,8;0,414;49,9;43,8;5,6;0,5;49,4;0,7;0
026910304;31,0;44,4;6910;14850;21720;1,00;990;5470;8480;11850;17350;20210;23750;29110;29,5;19,8;0,406;61,8;54,2;5,1;2,5;36,0;2,2;0
026910401;35,2;38,3;8560;16420;23960;0,94;1480;6780;10350;13600;19280;22600;26320;31850;21,5;15,2;0,394;58,7;50,9;3,6;4,2;39,2;2,1;0
026910402;33,3;41,2;9030;15480;22520;0,87;1540;6620;10230;12850;18110;20550;24270;28800;18,7;14,7;0,371;68,0;60,6;4,3;3,1;31,0;1,0;0
026910403;39,6;33,9;10130;17400;23740;0,78;3440;8470;11960;15020;20150;22450;25590;30850;9,0;9,3;0,335;58,0;53,3;3,5;1,2;40,6;1,4;0
026910501;36,3;39,5;7810;16410;22510;0,90;560;6210;9580;13320;18820;21340;25150;31250;55,8;17,8;0,403;64,0;56,3;3,8;3,9;32,4;3,6;0
026910502;38,4;37,6;8800;17070;25040;0,95;1500;7050;10490;13900;19820;23290;27130;33100;22,0;15,9;0,398;65,2;56,8;3,9;4,5;31,0;3,8;0
026910503;s;s;2630;9060;16330;1,51;0;970;4250;6400;11830;14950;18100;22990;so;237,9;0,482;62,5;53,7;7,2;1,6;36,3;1,2;0
026910504;40,1;32,0;10790;18590;25490;0,79;4920;9350;12340;15820;21060;23720;26830;33420;6,8;8,6;0,352;57,9;51,2;2,7;4,0;40,8;1,3;0
026910505;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
026910601;37,8;36,0;9300;17490;24620;0,88;2280;7270;11120;14450;20250;23200;26400;35010;15,3;14,6;0,408;64,6;56,6;3,4;4,6;30,5;4,9;0
027220101;23,4;62,5;4050;9730;17840;1,42;80;2390;5100;7240;12360;16020;20240;27590;359,8;71,9;0,524;48,2;39,5;5,3;3,4;43,8;8,0;0
027220102;s;77,5;1210;7070;12330;1,57;0;380;2590;4870;8670;11430;13940;17670;so;417,8;0,494;71,1;s;s;s;27,5;1,4;0
027220103;16,0;66,3;3530;9330;15100;1,24;70;2540;5200;7340;11720;13990;17120;22550;325,3;54,9;0,469;63,9;53,4;8,5;2,0;33,0;3,1;0
027220201;32,5;43,2;8640;14860;20970;0,83;2870;7150;9850;12310;17170;19440;22640;27160;9,5;9,5;0,349;54,7;s;s;s;43,8;1,5;0
027220301;s;s;17890;25780;35950;0,70;12420;16300;19720;22600;28680;33370;39020;48900;3,9;5,5;0,320;57,6;48,5;2,0;7,1;35,3;7,1;0
027220401;20,9;50,1;6600;13130;18900;0,94;0;5050;8500;11130;15410;17630;20690;25510;so;24,1;0,405;54,7;47,9;6,4;0,4;41,3;4,0;0
027220501;53,3;17,4;15770;23440;31810;0,68;9930;14170;17530;20210;26370;29230;35240;46920;4,7;7,1;0,370;58,5;49,5;2,6;6,4;31,9;9,6;0
027220502;43,3;31,8;10270;18460;27730;0,95;3270;7930;12260;15800;21710;25690;30580;43400;13,3;15,6;0,420;55,7;48,7;2,8;4,2;38,1;6,2;0
027220503;46,0;29,8;11260;20160;30440;0,95;4110;9400;13310;17020;23760;27530;34330;49130;12,0;15,1;0,445;61,7;50,1;2,7;8,9;28,6;9,7;0
027220601;s;s;4520;9300;16640;1,30;190;3210;5890;7520;11870;14660;18810;23790;122,5;30,6;0,453;75,3;67,0;7,4;0,9;22,2;2,5;0
027220701;45,3;26,8;12540;19970;27360;0,74;5880;10960;14280;16990;22340;25290;29560;37260;6,3;8,8;0,374;64,2;56,5;3,4;4,3;30,2;5,6;0
027220801;30,8;45,6;8720;14380;21860;0,91;3360;7040;9870;12090;17150;20620;23770;29000;8,6;10,6;0,373;70,5;62,9;5,2;2,4;27,5;2,0;0
027220901;50,6;26,4;12820;21710;30740;0,83;6390;11190;14830;18310;24790;28490;33500;44920;7,0;9,9;0,398;62,8;53,7;2,9;6,2;29,3;7,9;0
027380101;32,6;33,9;10310;16930;23320;0,77;4470;8750;11770;14290;19360;21710;24360;29850;6,7;8,1;0,332;62,1;56,2;3,5;2,4;35,6;2,3;0
027380102;26,1;47,0;8830;13820;19140;0,75;3660;7590;10020;11910;15840;18510;20930;25360;6,9;8,0;0,329;70,0;s;s;s;29,7;0,3;0
027380201;35,4;32,5;10740;17770;24280;0,76;3910;8700;11960;15220;19970;23030;25960;31250;8,0;9,6;0,343;62,7;55,2;4,4;3,1;35,9;1,4;0
027380301;35,7;32,2;10370;17700;23990;0,77;2360;8890;12270;14800;19730;22550;25860;31240;13,2;10,6;0,342;57,1;51,1;4,0;2,0;40,5;2,4;0
027380302;29,3;46,6;5980;14260;21570;1,09;260;3840;7300;10980;16800;20100;23410;28110;109,9;35,2;0,422;61,5;53,7;5,2;2,6;36,2;2,3;0
027380401;36,1;29,8;11570;18070;24100;0,69;5730;9830;13320;15540;20220;22890;25810;31430;5,5;7,1;0,314;60,3;53,9;3,9;2,5;37,4;2,3;0
028100102;43,0;25,4;13040;18830;26640;0,72;6950;10860;13940;16560;21290;24680;28590;36230;5,2;7,4;0,354;61,6;55,7;3,2;2,7;31,3;7,1;0
028100202;48,3;21,3;14170;20450;27770;0,66;8750;12700;15660;18240;22860;26020;30000;38550;4,4;6,5;0,341;66,3;60,4;3,3;2,6;27,5;6,2;0
028100302;48,4;15,4;15790;21450;27510;0,55;10670;14810;16720;19120;23430;25900;29520;36460;3,4;4,1;0,272;73,6;69,0;3,1;1,5;23,4;3,0;0
028100401;28,1;50,3;7770;13080;20020;0,94;2310;6290;8990;10810;15350;18630;21670;27580;12,0;10,6;0,367;78,6;s;s;s;20,7;0,7;0
030230101;43,2;31,5;10210;19430;29070;0,97;2770;8430;12370;15690;23090;26460;31810;40140;14,5;16,7;0,440;53,9;44,1;3,0;6,8;41,5;4,6;1
030230102;47,1;21,3;14310;21510;30000;0,73;8050;12870;15480;18620;24720;27950;33290;41690;5,2;7,2;0,347;52,4;46,0;2,5;3,9;41,7;5,9;1
030230103;54,2;24,0;13570;21970;33120;0,89;3640;11060;15710;19020;25690;29300;37550;47780;13,1;14,0;0,406;54,5;45,1;2,6;6,8;39,5;6,0;1
030230104;56,0;13,0;17390;24020;31660;0,59;11930;15790;18820;21600;26870;30000;34550;44490;3,7;5,2;0,314;50,6;42,9;2,7;5,0;43,8;5,6;1
030820101;46,2;16,5;15870;20700;27390;0,56;10570;14190;17170;19210;23120;25960;29150;33710;3,2;4,4;0,265;58,0;52,8;2,8;2,4;39,7;2,3;1
030820102;33,9;31,9;11000;17320;24260;0,77;2760;9500;12530;15180;20300;22680;26120;32030;11,6;10,8;0,373;48,7;40,7;3,2;4,8;46,5;4,8;1
030820103;31,6;32,1;11180;17630;23130;0,68;2370;8750;12750;15540;19520;21540;25010;30010;12,7;10,0;0,329;45,9;41,1;3,7;1,1;52,3;1,8;1
030950101;33,1;41,4;7620;15770;23320;1,00;640;5380;9660;12750;18450;21860;25330;33150;51,7;24,8;0,443;54,1;43,5;4,1;6,5;40,3;5,6;0
030950102;s;s;11440;19020;26570;0,80;3000;9090;12990;16370;22020;24890;29160;35090;11,7;12,1;0,374;57,3;49,5;2,5;5,3;39,5;3,2;0
