IRIS;DEC_PIMP20;DEC_TP6020;DEC_Q120;DEC_MED20;DEC_Q320;DEC_EQ20;DEC_D120;DEC_D220;DEC_D320;DEC_D420;DEC_D620;DEC_D720;DEC_D820;DEC_D920;DEC_RD20;DEC_S80S2020;DEC_GI20;DEC_PACT20;DEC_PTSA20;DEC_PCHO20;DEC_PBEN20;DEC_PPEN20;DEC_PAUT20;DEC_NOTE20
786460606;75,2;s;21530;26480;33650;0,46;16190;19850;22840;24700;29010;31960;35760;41430;2,6;2,8;0,201;98,0;96,0;1,0;1,0;0,0;2,0;0
786500101;84,5;s;34000;53860;81000;0,87;21510;30260;38220;45790;63150;74420;89360;124630;5,8;8,1;0,400;74,9;68,1;1,7;5,1;16,2;8,9;0
786500102;81,1;s;32680;52920;81250;0,92;19250;29640;36170;43370;62730;74230;90690;128880;6,7;12,3;0,499;72,4;61,8;1,4;9,2;14,5;13,1;0
786500103;79,7;7,0;30650;51840;84570;1,04;17460;26320;34110;42180;60280;75390;96840;141030;8,1;14,7;0,518;68,2;62,3;2,1;3,8;14,7;17,1;0
786500104;76,4;9,1;23880;37670;61340;0,99;13870;21140;26680;31960;45460;55420;72600;110590;8,0;16,3;0,565;79,2;72,9;1,6;4,7;12,7;8,1;0
786500105;s;s;27070;44400;67740;0,92;16080;23530;30710;37030;52080;61280;77190;106450;6,6;10,4;0,441;64,7;59,5;1,6;3,6;22,1;13,2;0
786740101;74,8;8,1;21990;30760;41630;0,64;14660;20120;23920;27000;34390;39250;44890;58190;4,0;5,3;0,318;81,3;77,1;2,3;1,9;15,0;3,7;0
786740102;s;s;20670;28170;35980;0,54;14070;18700;22260;25150;31200;34220;38310;45350;3,2;3,7;0,242;72,7;68,9;2,3;1,5;24,5;2,8;0
786740103;71,0;8,1;20440;26870;34880;0,54;14200;18660;21920;24640;29960;33300;37550;43100;3,0;3,5;0,237;77,3;72,9;2,2;2,2;21,0;1,7;0
786740104;s;s;24760;33360;45790;0,63;17110;22410;26070;29320;37150;43310;50180;61750;3,6;4,3;0,280;75,5;70,9;2,6;2,0;21,5;3,0;0
786860101;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;so
