;IRIS;DEC_PIMP20;DEC_TP6020;DEC_Q120;DEC_MED20;DEC_Q320;DEC_EQ20;DEC_D120;DEC_D220;DEC_D320;DEC_D420;DEC_D620;DEC_D720;DEC_D820;DEC_D920;DEC_RD20;DEC_S80S2020;DEC_GI20;DEC_PACT20;DEC_PTSA20;DEC_PCHO20;DEC_PBEN20;DEC_PPEN20;DEC_PAUT20;DEC_NOTE20;keep
10712;751207903;70,5;17,5;18320;29670;44380;0,88;7540;14840;20550;26120;34390;40760;48080;64440;8,5;9,7;0,380;76,1;66,6;4,4;5,1;18,5;5,4;0;1
10713;751207904;72,4;15,9;18810;31480;46020;0,86;7800;16530;21690;26780;36320;41870;50150;66610;8,5;10,6;0,398;75,3;64,6;4,9;5,8;19,2;5,5;0;1
10714;751207905;71,5;17,3;17580;29160;43690;0,90;8410;15080;20270;24960;34470;40090;47940;62180;7,4;10,0;0,395;79,0;69,5;4,3;5,2;14,0;7,0;0;1
10715;751207906;54,7;37,1;9820;17270;29670;1,15;4260;8140;10960;14110;22900;27420;32610;44350;10,4;14,5;0,457;83,4;73,1;5,1;5,2;13,4;3,2;0;1
10716;751207907;61,2;28,5;11910;22050;36580;1,12;5180;9960;13830;17930;27360;33100;40460;52190;10,1;12,9;0,426;83,8;72,1;5,6;6,1;11,4;4,8;0;1
10717;751207908;51,6;37,4;9950;17100;27330;1,02;4940;8490;11210;13870;20700;24720;29870;38790;7,9;9,3;0,378;79,0;71,6;5,5;1,9;19,2;1,8;0;1
10718;751207909;71,6;s;20040;31240;46340;0,84;12320;17370;21740;26470;36420;43140;50280;61390;5,0;6,8;0,346;82,4;72,4;5,4;4,6;13,4;4,2;0;1
10719;751207910;47,2;43,1;8370;15500;25530;1,11;4090;7430;9420;12200;19030;23520;28720;36310;8,9;11,3;0,418;76,2;67,5;6,3;2,4;20,4;3,4;0;1
10720;751207911;61,6;32,4;8710;21960;34850;1,19;3290;6750;11580;17060;26900;31460;38110;48890;14,9;19,1;0,443;82,8;70,7;6,4;5,7;12,3;4,9;0;1
10721;751207912;63,3;20,2;15680;27810;41930;0,94;6700;13010;18990;23240;33040;38390;45710;58330;8,7;11,0;0,388;76,5;66,5;4,5;5,5;20,0;3,5;0;1
