;IRIS;DEC_PIMP20;DEC_TP6020;DEC_Q120;DEC_MED20;DEC_Q320;DEC_EQ20;DEC_D120;DEC_D220;DEC_D320;DEC_D420;DEC_D620;DEC_D720;DEC_D820;DEC_D920;DEC_RD20;DEC_S80S2020;DEC_GI20;DEC_PACT20;DEC_PTSA20;DEC_PCHO20;DEC_PBEN20;DEC_PPEN20;DEC_PAUT20;DEC_NOTE20;keep
9829;751041699;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;so;1
9830;751051701;72,7;13,8;22060;35930;56420;0,96;8900;18030;25480;30760;43930;52180;61840;78460;8,8;11,0;0,401;73,5;64,0;2,9;6,6;20,4;6,1;0;1
9831;751051702;73,9;s;22530;39340;61750;1,00;11730;19630;25700;33830;47100;54590;69210;98790;8,4;12,8;0,454;71,9;64,8;2,2;4,9;20,4;7,7;0;1
9832;751051703;71,8;13,0;22470;36350;57590;0,97;10820;19470;24950;29770;43290;51660;64080;85690;7,9;10,7;0,417;74,3;66,6;2,0;5,7;16,8;8,9;0;1
9833;751051704;75,8;12,0;24220;39650;65970;1,05;11550;20310;26950;33140;47070;57440;72530;98840;8,6;15,9;0,507;60,1;50,9;1,8;7,4;17,2;22,7;0;1
9834;751051705;73,1;13,8;22270;40630;67850;1,12;8160;18010;25880;33230;49730;61130;76940;108850;13,3;17,7;0,493;58,6;48,6;1,9;8,1;22,4;19,0;0;1
9835;751051706;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9836;751051799;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;so;1
9837;751051801;76,1;s;25420;38880;57870;0,83;12010;22550;28720;33850;45560;52960;63730;87100;7,3;8,4;0,369;73,2;66,7;2,4;4,1;20,0;6,8;0;1
9838;751051802;71,1;12,6;21600;35990;53020;0,87;9910;18700;24280;30300;42500;48710;60990;80860;8,2;9,7;0,393;71,2;63,9;3,1;4,2;21,7;7,1;0;1
9839;751051803;69,5;13,5;21070;35810;58290;1,04;10170;18390;23520;29620;42950;52270;63930;88430;8,7;11,0;0,419;71,1;62,6;3,3;5,2;18,7;10,2;0;1
9840;751051804;68,5;18,2;18380;31130;51640;1,07;7330;15070;21700;26440;37160;44490;58880;83270;11,4;16,7;0,483;66,6;57,0;1,8;7,8;25,7;7,7;0;1
9841;751051805;69,6;19,0;17330;32000;48660;0,98;7030;14060;20690;25280;37500;44430;53410;71470;10,2;13,6;0,433;64,5;56,1;1,8;6,6;26,9;8,6;0;1
9842;751051806;69,4;12,8;19140;34160;53400;1,00;10790;16800;22020;27730;41990;49200;58330;83350;7,7;11,8;0,449;71,8;61,3;2,8;7,7;19,2;9,0;0;1
9843;751051807;73,7;s;23110;35120;50640;0,78;13010;19630;25400;30310;40600;46970;56630;80360;6,2;8,6;0,391;70,0;62,2;1,9;5,9;19,0;11,0;0;1
9844;751051808;74,7;s;25350;40540;64280;0,96;14100;22080;28260;33480;48900;59110;71570;98310;7,0;12,1;0,463;67,7;60,4;1,2;6,1;19,8;12,5;0;1
9845;751051809;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9846;751051899;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;so;1
9847;751051901;74,2;12,3;23830;38920;58870;0,90;10820;20670;27340;33220;45040;53690;64590;88110;8,1;11,7;0,427;65,6;58,6;1,9;5,1;24,6;9,8;0;1
9848;751051902;72,5;s;24090;42770;66560;0,99;12220;20230;27760;35690;48580;60020;72760;99790;8,2;13,9;0,454;66,6;57,3;1,7;7,6;23,5;9,9;0;1
9849;751051903;72,1;12,0;23440;41770;68370;1,08;9640;19130;28240;34980;49820;59460;75980;134870;14,0;17,9;0,507;68,6;57,1;2,0;9,5;18,2;13,2;0;1
9850;751051904;77,7;s;28850;48820;84200;1,13;13380;23760;33290;41780;58230;73020;95690;136820;10,2;15,3;0,493;67,0;57,3;1,0;8,7;21,5;11,5;0;1
9851;751051905;75,5;10,1;28330;55230;97890;1,26;13020;23290;33340;43140;67970;87730;109570;159520;12,3;22,7;0,562;66,7;51,8;1,0;13,9;15,7;17,6;0;1
9852;751051906;74,1;11,5;23860;42510;70160;1,09;11110;21040;27250;34430;50810;61080;78940;112480;10,1;14,0;0,468;63,9;53,9;2,1;7,9;25,0;11,1;0;1
9853;751051907;71,6;s;23310;40700;64680;1,02;10700;19550;25240;33320;48180;59040;74680;110650;10,3;15,7;0,501;67,5;60,6;2,0;4,9;18,1;14,4;0;1
9854;751051908;69,7;15,6;19730;35800;61110;1,16;7650;16410;22870;29360;44550;55230;68750;99200;13,0;17,6;0,496;63,7;56,0;2,1;5,6;21,2;15,1;0;1
9855;751052001;69,4;15,9;19420;35790;59350;1,12;7930;15870;21910;27810;43300;53980;68500;111240;14,0;25,5;0,584;72,5;66,5;1,4;4,6;16,2;11,3;0;1
9856;751052002;74,8;s;27020;47910;81080;1,13;11440;21900;30280;40620;58440;73490;94060;120260;10,5;14,7;0,464;64,6;56,7;1,7;6,2;18,4;17,0;0;1
9857;751052003;66,7;19,8;17350;32870;55300;1,15;4200;13480;20160;26500;40440;48860;61550;90170;21,5;23,3;0,483;68,2;58,1;2,5;7,6;20,2;11,6;0;1
9858;751052004;68,8;15,4;19970;37640;65370;1,21;7980;16880;23380;30180;46600;57040;73030;107010;13,4;23,1;0,561;66,9;47,0;1,9;18,0;17,2;15,9;0;1
9859;751052005;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9860;751052099;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;so;1
9861;751062101;72,4;14,7;24140;43680;79850;1,28;7280;20030;27010;35110;51800;67830;91770;191290;26,3;35,1;0,620;63,2;50,3;1,2;11,7;13,0;23,8;0;1
9862;751062102;69,8;18,4;18710;34490;60710;1,22;5110;14350;21740;28630;42640;54740;70410;98760;19,3;33,4;0,594;68,0;53,6;2,1;12,3;17,3;14,7;0;1
9863;751062103;70,0;16,1;21530;38070;68030;1,22;7250;17200;25450;31140;49320;61460;76850;120090;16,6;26,0;0,563;61,1;49,6;2,1;9,4;20,7;18,2;0;1
9864;751062199;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;so;1
9865;751062201;75,8;s;25820;50040;103120;1,54;14350;22080;31150;38860;66800;90680;124010;250050;17,4;43,4;0,715;42,3;38,9;0,6;2,8;16,1;41,6;0;1
9866;751062202;s;s;26390;48890;85510;1,21;13030;22950;29960;36750;62450;78060;103330;184290;14,1;26,2;0,605;46,6;40,4;1,6;4,6;19,8;33,6;0;1
9867;751062203;68,7;15,5;19510;36980;64390;1,21;7970;16380;21960;28890;46860;57570;74150;120330;15,1;27,4;0,592;62,6;51,9;2,3;8,4;15,5;21,9;0;1
9868;751062204;73,7;12,6;22170;43200;76020;1,25;10720;19340;26310;35060;52200;67410;86950;124630;11,6;24,5;0,583;66,9;53,1;1,5;12,3;16,0;17,1;0;1
9869;751062205;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9870;751062301;78,7;s;28280;52740;85750;1,09;15460;22250;32880;42010;63030;73230;97930;158980;10,3;17,3;0,526;62,4;48,8;1,3;12,3;17,7;19,9;0;1
9871;751062302;77,7;s;29860;53460;91740;1,16;15860;26700;33460;42050;63720;81680;111670;179740;11,3;21,2;0,575;57,9;44,4;1,3;12,2;16,5;25,6;0;1
9872;751062303;74,2;12,3;24750;47310;80880;1,19;10480;19740;28540;37570;58040;71350;93390;146180;13,9;23,3;0,562;61,8;50,7;1,5;9,6;19,2;19,0;0;1
9873;751062304;76,0;s;26700;52120;103200;1,47;13670;22430;32390;40740;66190;89840;115490;210930;15,4;39,8;0,685;49,1;40,3;0,9;7,9;12,5;38,4;0;1
9874;751062305;75,9;s;28520;51290;82090;1,04;14950;24670;33430;41730;61640;76420;95270;131620;8,8;15,2;0,506;64,4;49,9;2,2;12,3;16,9;18,7;0;1
9875;751062306;79,0;9,8;26110;47730;76840;1,06;13390;22610;30390;38970;56870;68420;88320;130550;9,8;16,5;0,518;64,0;53,0;1,5;9,5;17,8;18,2;0;1
9876;751062307;75,2;s;26310;48070;79190;1,10;11410;22250;29880;37120;57630;70430;90700;127420;11,2;15,9;0,485;62,9;49,4;1,5;12,0;21,1;16,0;0;1
9877;751062308;76,1;11,3;24690;42510;71510;1,10;11840;21370;28610;35920;52590;65380;80570;119990;10,1;15,5;0,498;62,7;55,4;2,1;5,2;21,9;15,4;0;1
9878;751062309;66,7;15,3;19800;39640;73930;1,37;8470;16610;23110;31300;48840;65230;89580;146990;17,3;27,3;0,582;65,2;52,4;1,4;11,4;17,4;17,4;0;1
9879;751062310;74,6;12,8;23010;46340;88580;1,41;10630;19360;27930;36320;59650;77780;102200;166500;15,7;25,0;0,569;63,4;50,5;1,1;11,8;18,1;18,5;0;1
9880;751062311;79,3;s;27930;52820;88360;1,14;14870;22920;32420;42960;62000;77160;103160;147800;9,9;16,0;0,505;57,3;46,8;1,3;9,2;21,1;21,6;0;1
9881;751062401;72,2;s;22270;41130;78030;1,36;10880;18290;26420;33730;54310;68410;89450;137940;12,7;24,8;0,595;60,1;53,7;1,6;4,8;16,3;23,6;0;1
9882;751062402;67,6;16,6;20230;43090;87880;1,57;7900;15780;24510;32920;53710;73600;104290;189730;24,0;37,0;0,612;56,7;46,9;1,5;8,3;17,8;25,5;0;1
9883;751062499;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;so;1
9884;751072501;73,4;s;27750;59110;112720;1,44;11950;22550;34620;45100;75200;95230;136270;213660;17,9;32,3;0,609;51,3;43,2;0,9;7,2;16,0;32,7;0;1
9885;751072502;76,1;s;30980;57190;100510;1,22;14420;25740;36690;48130;69090;85760;128700;218340;15,1;23,5;0,574;65,5;49,0;1,3;15,2;15,9;18,6;0;1
9886;751072503;73,0;13,2;23750;49290;89250;1,33;9470;19090;27610;38550;61060;78210;109120;162310;17,1;51,2;0,717;37,2;31,5;1,0;4,7;12,7;50,1;0;1
9887;751072504;74,3;s;24680;52720;106790;1,56;12180;21200;28760;41400;70230;93990;137360;239720;19,7;37,0;0,648;54,5;46,2;1,2;7,1;13,9;31,6;0;1
9888;751072505;76,4;s;23720;46540;96830;1,57;12180;20510;28030;34820;63440;81770;116190;236830;19,4;47,9;0,718;52,0;38,2;0,7;13,1;11,9;36,1;0;1
9889;751072506;74,0;13,1;24390;46490;88720;1,38;10400;20440;27830;36240;57540;78190;106580;174190;16,7;37,4;0,662;55,0;37,6;1,2;16,2;15,8;29,2;0;1
9890;751072507;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;so;1
9891;751072508;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9892;751072599;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;so;1
9893;751072601;77,8;s;28740;54970;98120;1,26;14840;23750;33470;42580;68300;86450;119010;223400;15,1;38,5;0,692;53,3;38,3;0,8;14,2;12,3;34,4;0;1
9894;751072602;75,8;s;27430;54480;106110;1,44;13300;24190;30980;39300;72780;90260;125130;216250;16,3;47,2;0,724;48,7;40,2;1,0;7,5;12,3;39,0;0;1
9895;751072603;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9896;751072604;77,6;s;29170;58250;115190;1,48;15640;24640;35580;46300;73490;98850;147220;253070;16,2;26,7;0,601;55,0;42,9;1,0;11,1;15,0;30,0;0;1
9897;751072605;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9898;751072606;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9899;751072699;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;so;1
9900;751072701;74,3;11,1;25230;46160;81130;1,21;12110;21280;28240;34940;55860;68510;95120;145970;12,1;18,4;0,530;62,9;52,5;1,9;8,5;19,4;17,7;0;1
9901;751072702;76,0;s;25800;48660;82850;1,17;11500;20530;30220;37970;60650;72730;98880;148880;12,9;20,2;0,525;61,2;49,7;1,0;10,5;20,5;18,3;0;1
9902;751072703;80,6;s;35820;66460;109070;1,10;19550;30670;41600;54470;79230;98350;124610;178480;9,1;13,6;0,472;65,4;53,8;1,5;10,1;21,0;13,6;0;1
9903;751072704;78,6;s;30100;54900;98330;1,24;15050;25340;35030;45500;68120;84530;112940;160890;10,7;22,8;0,585;58,3;48,8;1,0;8,5;15,2;26,5;0;1
9904;751072705;80,9;s;33520;64330;108170;1,16;19040;28670;38280;50770;79560;97080;128320;238150;12,5;32,5;0,674;55,9;47,5;0,5;7,9;12,4;31,7;0;1
9905;751072706;78,3;s;25190;46740;91470;1,42;15800;22520;28780;36680;57650;76240;113760;177290;11,2;24,7;0,632;58,0;45,4;1,2;11,4;12,9;29,1;0;1
9906;751072707;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9907;751072801;78,0;9,8;28250;47130;74210;0,98;13330;24370;31750;39920;57440;67450;84280;110980;8,3;13,1;0,458;66,3;58,7;2,1;5,5;19,9;13,8;0;1
9908;751072802;74,9;s;27020;46360;73160;1,00;13540;22630;31380;38970;55760;66460;87170;126390;9,3;15,3;0,496;66,8;57,1;2,2;7,5;14,3;18,9;0;1
9909;751072803;69,8;14,9;20790;37620;67990;1,25;8100;16440;24940;30720;45680;58960;77980;119280;14,7;18,2;0,483;71,5;61,0;2,0;8,5;16,8;11,7;0;1
9910;751072804;74,0;14,8;22840;42110;76070;1,26;9280;18300;25770;33660;54080;67540;88630;126350;13,6;19,4;0,510;67,5;58,5;1,7;7,3;16,4;16,1;0;1
9911;751072805;72,1;14,0;21570;39660;67650;1,16;9690;18120;24830;31690;49440;61670;79130;128010;13,2;21,2;0,542;70,5;58,7;2,2;9,6;13,9;15,6;0;1
9912;751072806;77,5;s;33200;73850;155830;1,66;15880;28220;38610;53890;97780;128130;180850;352110;22,2;43,2;0,674;48,5;36,6;0,8;11,1;12,5;39,0;0;1
9913;751072807;79,1;s;32690;64090;124610;1,43;18310;27530;37520;49210;85040;109280;146990;242660;13,3;26,9;0,619;54,1;47,9;0,8;5,4;14,8;31,1;0;1
9914;751072808;77,6;s;29230;55190;94460;1,18;14550;25540;34310;44580;68730;85270;111830;182620;12,6;19,7;0,531;63,9;57,8;1,7;4,4;17,1;19,0;0;1
9915;751072809;76,4;s;29600;51010;91630;1,22;14080;25380;34040;41950;63050;79540;109050;171400;12,2;16,7;0,510;62,2;54,8;1,5;5,9;17,0;20,8;0;1
9916;751072810;72,3;13,6;22640;42420;73810;1,21;9030;18960;26070;33590;52000;64770;88330;127880;14,2;20,9;0,532;68,1;56,8;2,3;9,0;15,9;16,0;0;1
9917;751072811;73,9;s;27290;60610;122980;1,58;11250;21180;33230;45570;79220;105990;151100;275490;24,5;36,4;0,606;60,9;50,4;0,9;9,6;13,6;25,5;0;1
9918;751072812;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;so;1
9919;751072899;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;so;1
9920;751082901;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9921;751082902;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9922;751082903;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9923;751082904;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9924;751082905;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9925;751082906;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9926;751082907;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;so;1
9927;751082999;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9928;751083001;75,6;11,2;26400;52650;97230;1,35;11700;22540;30180;40530;65640;81910;113680;181020;15,5;23,2;0,555;66,3;52,4;1,4;12,5;11,7;22,0;0;1
9929;751083002;69,1;14,3;21140;47080;93230;1,53;9030;17390;25120;34680;60010;79340;112330;182870;20,3;33,6;0,602;66,6;58,4;1,4;6,8;12,5;20,9;0;1
9930;751083003;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9931;751083004;73,6;16,4;19540;41340;77260;1,40;8330;15310;23840;30950;52420;68430;89750;138910;16,7;26,2;0,561;75,5;63,5;2,0;10,0;13,3;11,2;0;1
9932;751083005;68,5;21,7;15300;34400;72480;1,66;5540;11860;19140;25420;44310;61710;89050;155170;28,0;44,3;0,639;64,9;55,4;1,5;8,0;11,1;24,0;0;1
9933;751083006;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9934;751083101;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9935;751083102;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9936;751083103;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9937;751083104;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9938;751083105;s;s;27250;48430;87550;1,24;13520;23730;29780;39510;58280;75990;110920;164020;12,1;16,6;0,516;67,7;59,7;2,1;5,9;12,2;20,1;0;1
9939;751083106;77,7;s;29260;51150;86310;1,12;14250;24210;32520;40840;63160;76290;99430;149470;10,5;15,0;0,483;69,4;58,5;1,9;9,0;11,3;19,3;0;1
9940;751083107;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9941;751083108;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9942;751083201;76,8;11,6;26780;51060;87830;1,20;12210;22780;30320;40770;63640;78650;100600;146960;12,0;17,4;0,509;76,9;65,5;2,1;9,3;10,8;12,3;0;1
9943;751083202;77,6;10,6;27240;58130;101970;1,29;13040;23010;31880;43700;70360;89420;121220;175320;13,4;22,7;0,564;68,4;57,1;1,6;9,7;9,7;21,9;0;1
9944;751083203;79,6;s;29570;62970;113520;1,33;14640;24380;35050;49020;79270;99780;148350;246520;16,8;27,2;0,591;68,0;56,1;1,1;10,8;9,7;22,3;0;1
9945;751083204;78,4;8,0;30060;60110;107430;1,29;15690;24980;34920;46720;74410;94270;124730;200140;12,8;19,3;0,529;71,6;61,5;1,2;8,9;10,5;17,9;0;1
9946;751083205;79,9;7,7;32240;58820;93910;1,05;16500;26910;37750;48200;70130;85330;106630;149900;9,1;12,9;0,448;77,8;66,9;1,5;9,4;12,3;9,9;0;1
9947;751083206;79,7;8,1;29500;47660;74930;0,95;15380;24590;33160;40700;56290;68580;84530;112530;7,3;9,8;0,402;77,2;68,5;2,5;6,2;13,7;9,1;0;1
9948;751083207;73,2;13,7;24270;47900;78570;1,13;9860;19750;28590;37840;58320;72890;86510;126550;12,8;17,9;0,479;75,7;64,9;1,7;9,1;13,6;10,7;0;1
9949;751083208;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9950;751083209;79,0;s;27770;52140;88420;1,16;14320;23040;33220;42240;61660;77190;105810;143290;10,0;20,0;0,555;66,0;52,4;2,0;11,6;11,6;22,4;0;1
9951;751083210;s;s;31920;64190;127960;1,50;14680;25080;36550;49620;79540;106700;164620;265800;18,1;30,9;0,624;69,2;53,9;1,1;14,2;7,6;23,2;0;1
9952;751093301;76,7;s;27390;44520;69270;0,94;14120;22740;31090;37140;52310;62430;78850;113070;8,0;12,0;0,455;78,7;66,3;2,7;9,7;10,9;10,4;0;1
9953;751093302;76,3;s;27570;49240;83000;1,13;13550;23200;32330;39850;59520;74530;95480;146060;10,8;16,1;0,502;75,8;65,4;2,3;8,1;11,0;13,2;0;1
9954;751093303;76,4;12,2;23780;42270;70370;1,10;11190;19410;26460;34470;52880;62600;79330;114130;10,2;15,9;0,504;80,0;67,2;3,2;9,6;12,4;7,6;0;1
9955;751093304;79,9;s;30170;51530;85910;1,08;16520;25220;35290;43080;64170;78010;98800;141030;8,5;11,3;0,433;76,8;68,8;2,2;5,8;13,6;9,6;0;1
9956;751093305;78,0;10,6;26990;49960;78420;1,03;12510;23740;31550;39710;59330;71500;87330;132470;10,6;13,7;0,465;75,4;64,7;2,4;8,3;10,2;14,4;0;1
9957;751093306;75,2;11,5;24200;42370;73550;1,16;12120;20050;27550;34970;52640;64220;81080;109020;9,0;13,5;0,461;77,4;67,5;2,4;7,5;13,8;8,8;0;1
9958;751093307;75,7;12,2;23760;42490;69530;1,08;11060;19710;27780;34070;51250;62430;79240;111030;10,0;15,1;0,482;73,3;63,0;2,8;7,5;13,2;13,5;0;1
9959;751093308;69,1;19,9;15630;32320;54570;1,20;6460;13180;18620;25540;39090;48880;61220;87260;13,5;18,4;0,474;80,9;69,4;3,9;7,6;10,7;8,4;0;1
9960;751093309;71,6;18,3;17710;34670;61680;1,27;8240;14460;19990;27190;43320;54030;70180;105180;12,8;18,4;0,507;79,4;64,5;3,0;11,9;13,2;7,4;0;1
9961;751093310;78,7;s;25600;45240;82540;1,26;13580;22450;29830;36200;53770;68110;93290;136390;10,0;20,4;0,576;63,2;55,6;1,8;5,8;11,2;25,6;0;1
9962;751093311;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9963;751093401;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9964;751093402;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9965;751093403;75,0;s;24500;42160;69570;1,07;9550;19690;27650;33430;51590;61730;79310;129300;13,5;17,7;0,504;76,4;60,5;2,5;13,4;10,0;13,6;0;1
9966;751093404;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9967;751093405;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9968;751093406;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9969;751093407;73,6;s;20100;41450;63710;1,05;9710;15030;24380;30340;50130;58800;70100;98810;10,2;16,5;0,480;78,5;67,1;2,3;9,1;11,1;10,4;0;1
9970;751093408;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9971;751093409;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9972;751093501;68,6;22,4;15060;32320;57630;1,32;6570;12030;17810;25440;41830;51430;65540;87510;13,3;19,0;0,493;81,7;70,3;3,1;8,3;10,0;8,3;0;1
9973;751093502;71,5;16,2;20010;36570;64880;1,23;7820;16260;23390;30130;45940;56810;72880;103540;13,2;16,4;0,464;80,0;71,9;2,2;5,9;11,0;9,0;0;1
9974;751093503;76,3;12,6;24500;42070;67730;1,03;10820;20370;28170;35020;50830;60580;77360;107850;10,0;13,5;0,451;83,2;69,5;3,0;10,7;9,4;7,4;0;1
9975;751093504;72,9;14,3;21470;41500;65280;1,06;8500;18200;26000;32030;50300;58140;75360;107010;12,6;16,2;0,472;73,6;64,4;2,4;6,8;11,6;14,8;0;1
9976;751093601;75,7;13,6;22690;39800;64650;1,05;10020;19260;25410;32630;48100;59340;73040;102580;10,2;13,7;0,445;81,6;71,2;2,4;8,0;11,1;7,3;0;1
9977;751093602;72,3;15,5;19920;36560;62480;1,16;8110;16670;22540;29410;45060;54760;69970;93820;11,6;13,9;0,443;85,8;74,9;2,9;8,0;9,3;4,9;0;1
9978;751093603;73,9;15,2;19080;33390;53700;1,04;10260;15880;22430;28400;39690;49380;59310;86390;8,4;12,7;0,449;79,8;69,9;4,2;5,7;12,4;7,8;0;1
9979;751093604;75,0;13,1;22120;40120;67260;1,13;10350;18160;26320;33970;50240;59090;75650;102930;9,9;15,5;0,489;73,6;66,1;2,6;4,9;11,2;15,2;0;1
9980;751093605;78,9;s;23830;40990;65270;1,01;13710;21230;26840;33670;47350;57290;73030;98150;7,2;9,8;0,409;83,1;72,7;2,8;7,6;11,2;5,7;0;1
9981;751093606;76,4;10,9;24900;42430;68850;1,04;12400;20740;29640;34880;50730;62910;76850;113650;9,2;11,9;0,439;80,3;69,8;3,0;7,5;11,9;7,8;0;1
9982;751093607;71,9;17,5;18780;36360;57570;1,07;6930;14400;22640;29310;43400;51730;66010;95060;13,7;16,2;0,451;82,6;70,1;3,2;9,3;11,7;5,7;0;1
9983;751093608;74,0;13,4;21580;41780;71130;1,19;10430;18380;25740;33250;50940;63170;78980;116830;11,2;15,9;0,484;78,1;66,6;2,9;8,6;12,3;9,6;0;1
9984;751093609;76,9;13,2;23080;39220;62220;1,00;9580;19510;26410;32250;46320;54970;69040;97820;10,2;13,0;0,438;77,7;65,2;3,2;9,3;14,0;8,3;0;1
